Data;Preco_Fechamento;Volume;SMA_7;SMA_21;RSI;Volatilidade
2025-07-11;115879,65;56204086624;109990,66428571429;107395,24333333333;71,03694675503499;2826,859560890817
2025-07-12;117571,03;64185145923;111352,11285714284;108075,28714285715;73,40417834726858;3843,4433123301646
2025-07-13;117418,96;24351256098;112666,61142857143;108831,78190476191;72,82783558062584;4153,665889378484
2025-07-14;119117,56;27310851454;114081,23428571428;109701,54285714286;75,17272011650903;4457,428888006446
2025-07-15;119833,67;68915956378;115728,79857142855;110383,54523809523;76,10879083722271;4080,174188694306
2025-07-16;117678,19;80299520980;116975,22714285714;110940,78904761905;67,82008387240374;2795,922465644771
2025-07-17;118748,16;50374263848;118035,31714285712;111488,86666666665;69,59049296190832;1309,1579256137993
2025-07-18;119445,37;49282617205;118544,70571428571;112082,26476190476;70,72087063584846;983,9019308696345
2025-07-19;117988,95;58896449260;118604,40857142856;112601,79000000001;65,26339780928741;925,9451978679549
2025-07-20;117901,63;23934511126;118673,36142857141;113105,12523809524;64,93982881495793;836,6176930681953
2025-07-21;117256,92;36702153882;118407,5557142857;113527,04428571429;62,47689894201842;958,6448935532015
2025-07-22;117482,47;46344384345;118071,66999999998;114019,88571428572;63,005515779174566;768,7920528380655
2025-07-23;119955,8;58939000420;118397,04285714283;114702,85714285713;68,28228476818161;1016,5541628778103
2025-07-24;118629,06;45225685167;118380,02857142856;115169,7438095238;63,084235513484316;1010,6777018027772
2025-07-25;118354,44;51940414419;118224,18142857144;115586,51714285713;62,03160396972159;896,7069935350296
2025-07-26;117540,81;91617702596;118160,16142857142;116038,89428571428;58,89600271281997;931,6180686604436
2025-07-27;117959,54;25145925063;118168,43428571428;116502,80238095239;60,01617284177096;929,1936228089944
2025-07-28;119418,91;30220402191;118477,28999999998;116988,69333333331;63,72644734866718;935,0127436959062
2025-07-29;118003,3;43433742203;118551,69428571427;117450,72095238094;58,09496099186373;860,401135983872
2025-07-30;117853,31;42860287143;118251,33857142857;117874,53619047618;57,515014496119505;622,6922135276621
2025-07-31;117833,24;43054424656;118137,65;118184,3319047619;57,43239621573023;614,8347820948858
2025-08-01;115700,0;45238249453;117758,44428571427;118175,77714285714;49,32247222207305;1092,1455685799451
2025-08-02;113234,61;65794680822;117143,27285714285;117969,28095238096;41,94986625966863;2038,191699128724
2025-08-03;112554,9;33543439044;116371,1814285714;117737,65904761903;40,167198377099595;2618,50305911365
2025-08-04;114199,11;24689273719;115625,49571428572;117503,44714285714;46,13067724156019;2333,676076415703
2025-08-05;115138,69;32488023582;115216,26571428572;117279,87666666668;49,24389699606694;2085,146134359627
2025-08-06;114128,35;37316213251;114684,12857142858;117110,83666666666;46,15498628219518;1748,0643997825578
2025-08-07;115022,1;32052509631;114282,53714285714;116933,40523809523;49,19115205029893;1110,7630292715828
